instances,instance_hardness
1,0.16000000000000003
2,0.010000000000000009
3,0.26
4,0.35
5,0.5700000000000001
6,0.30000000000000004
7,0.010000000000000009
8,0.010000000000000009
9,0.33999999999999997
10,0.27
11,0.27
12,0.07999999999999996
13,0.010000000000000009
14,0.050000000000000044
15,0.040000000000000036
16,0.26
17,0.54
18,0.36
19,0.43000000000000005
20,0.19999999999999996
21,0.13
22,0.5900000000000001
23,0.06999999999999995
24,0.20999999999999996
25,0.15000000000000002
26,0.4
27,0.030000000000000027
28,0.76
29,0.61
30,0.06000000000000005
31,0.06999999999999995
32,0.040000000000000036
33,0.040000000000000036
34,0.75
35,0.08999999999999997
36,0.14
37,0.020000000000000018
38,0.0
39,0.020000000000000018
40,0.9
41,0.38
42,0.6799999999999999
43,0.52
44,0.32999999999999996
45,0.040000000000000036
46,0.64
47,0.020000000000000018
48,0.030000000000000027
49,0.96
50,0.35
51,0.35
52,0.08999999999999997
53,0.97
54,0.18000000000000005
55,0.76
56,0.010000000000000009
57,0.13
58,0.010000000000000009
59,0.9
60,0.12
61,0.14
62,0.51
63,0.0
64,0.47
65,0.84
66,0.48
67,0.88
68,0.18999999999999995
69,0.0
70,0.020000000000000018
71,0.36
72,0.79
73,0.0
74,0.27
75,0.48
76,0.06000000000000005
77,0.87
78,0.64
79,0.050000000000000044
80,0.030000000000000027
81,0.13
82,0.06000000000000005
83,0.47
84,0.48
85,0.0
86,0.31000000000000005
87,0.020000000000000018
88,0.040000000000000036
89,0.81
90,0.030000000000000027
91,0.63
92,0.030000000000000027
93,0.31000000000000005
94,0.15000000000000002
95,0.06000000000000005
96,0.13
97,0.010000000000000009
98,0.010000000000000009
99,0.010000000000000009
100,0.8200000000000001
101,0.0
102,0.18000000000000005
103,0.09999999999999998
104,0.19999999999999996
105,0.13
106,0.87
107,0.0
108,0.6
109,0.15000000000000002
110,0.020000000000000018
111,0.06000000000000005
112,0.65
113,0.27
114,0.18999999999999995
115,0.87
116,0.0
117,0.55
118,0.32999999999999996
119,0.06999999999999995
120,0.6699999999999999
121,0.24
122,0.0
123,0.6799999999999999
124,0.62
125,0.06999999999999995
126,0.010000000000000009
127,0.010000000000000009
128,0.010000000000000009
129,0.38
130,0.0
131,0.07999999999999996
132,0.8200000000000001
133,0.020000000000000018
134,0.32999999999999996
135,0.4
136,0.38
137,0.06999999999999995
138,0.020000000000000018
139,0.4
140,0.0
141,0.10999999999999999
142,0.5800000000000001
143,0.020000000000000018
144,0.9299999999999999
145,0.010000000000000009
146,0.06999999999999995
147,0.25
148,0.010000000000000009
149,0.30000000000000004
150,0.19999999999999996
151,0.14
152,0.6799999999999999
153,0.020000000000000018
154,0.35
155,0.51
156,0.08999999999999997
157,0.35
158,0.020000000000000018
159,0.78
160,0.050000000000000044
161,0.17000000000000004
162,0.0
163,0.22999999999999998
164,0.0
165,0.22999999999999998
166,0.0
167,0.050000000000000044
168,0.18999999999999995
