instances,instance_hardness
1,0.56
2,0.18000000000000005
3,0.18000000000000005
4,0.22999999999999998
5,0.13
6,0.24
7,0.16000000000000003
8,0.52
9,0.6599999999999999
10,0.28
11,0.020000000000000018
12,0.18999999999999995
13,0.040000000000000036
14,0.07999999999999996
15,0.42000000000000004
16,0.13
17,0.28
18,0.75
19,0.09999999999999998
20,0.030000000000000027
21,0.17000000000000004
22,0.19999999999999996
23,0.14
24,0.06999999999999995
25,0.79
26,0.19999999999999996
27,0.06999999999999995
28,0.06999999999999995
29,0.010000000000000009
30,0.08999999999999997
31,0.09999999999999998
32,0.73
33,0.5
34,0.06000000000000005
35,0.5700000000000001
36,0.63
37,0.52
38,0.20999999999999996
39,0.42000000000000004
40,0.24
41,0.43999999999999995
42,0.8
43,0.39
44,0.14
45,0.25
46,0.12
47,0.22999999999999998
48,0.64
49,0.16000000000000003
50,0.27
51,0.06000000000000005
52,0.55
53,0.26
54,0.040000000000000036
55,0.35
56,0.14
57,0.09999999999999998
58,0.36
59,0.5
60,0.16000000000000003
61,0.08999999999999997
62,0.08999999999999997
63,0.20999999999999996
64,0.16000000000000003
65,0.06999999999999995
66,0.72
67,0.91
68,0.13
69,0.73
70,0.32999999999999996
71,0.06999999999999995
72,0.81
73,0.89
74,0.19999999999999996
75,0.42000000000000004
76,0.050000000000000044
77,0.25
78,0.10999999999999999
79,0.76
80,0.16000000000000003
81,0.81
82,0.31999999999999995
83,0.15000000000000002
84,0.29000000000000004
85,0.38
86,0.79
87,0.52
88,0.73
89,0.18999999999999995
90,0.10999999999999999
91,0.07999999999999996
92,0.4
93,0.07999999999999996
94,0.18000000000000005
95,0.21999999999999997
96,0.09999999999999998
97,0.33999999999999997
98,0.45999999999999996
99,0.19999999999999996
100,0.24
101,0.18000000000000005
102,0.47
103,0.79
104,0.07999999999999996
105,0.7
106,0.07999999999999996
107,0.54
108,0.050000000000000044
109,0.6799999999999999
