instances,instance_hardness
1,0.43000000000000005
2,0.06000000000000005
3,0.75
4,0.6799999999999999
5,0.71
6,0.14
7,0.76
8,0.31999999999999995
9,0.79
10,0.6599999999999999
11,0.71
12,0.10999999999999999
13,0.14
14,0.78
15,0.020000000000000018
16,0.38
17,0.19999999999999996
18,0.8200000000000001
19,0.9299999999999999
20,0.22999999999999998
21,0.18999999999999995
22,0.14
23,0.19999999999999996
24,0.28
25,0.10999999999999999
26,0.030000000000000027
27,0.81
28,0.18999999999999995
29,0.26
30,0.16000000000000003
31,0.19999999999999996
32,0.8
33,0.22999999999999998
34,0.12
35,0.63
36,0.4
37,0.5800000000000001
38,0.35
39,0.85
40,0.84
41,0.16000000000000003
42,0.030000000000000027
43,0.17000000000000004
44,0.18000000000000005
45,0.20999999999999996
46,0.28
47,0.84
48,0.10999999999999999
49,0.69
50,0.14
51,0.83
52,0.17000000000000004
53,0.24
54,0.13
55,0.12
56,0.13
57,0.73
58,0.6799999999999999
59,0.29000000000000004
60,0.86
61,0.15000000000000002
62,0.71
63,0.91
64,0.07999999999999996
65,0.91
66,0.86
67,0.24
68,0.32999999999999996
69,0.20999999999999996
70,0.88
71,0.89
72,0.12
73,0.32999999999999996
74,0.86
75,0.71
76,0.84
77,0.27
78,0.85
79,0.18000000000000005
80,0.75
81,0.09999999999999998
82,0.83
83,0.45999999999999996
84,0.27
85,0.29000000000000004
86,0.37
87,0.98
88,0.18999999999999995
89,0.09999999999999998
90,0.18000000000000005
91,0.32999999999999996
92,0.81
93,0.06999999999999995
94,0.8
95,0.21999999999999997
96,0.81
97,0.18999999999999995
98,0.17000000000000004
99,0.84
100,0.9
101,0.18000000000000005
102,0.08999999999999997
103,0.13
104,0.18000000000000005
105,0.31999999999999995
106,0.19999999999999996
107,0.96
108,0.17000000000000004
109,0.44999999999999996
110,0.86
111,0.28
112,0.89
113,0.12
114,0.25
115,0.020000000000000018
116,0.17000000000000004
117,0.13
118,0.08999999999999997
119,0.15000000000000002
120,0.45999999999999996
121,0.16000000000000003
122,0.8
123,0.22999999999999998
124,0.33999999999999997
125,0.32999999999999996
126,0.18000000000000005
127,0.39
128,0.86
129,0.15000000000000002
130,0.36
131,0.16000000000000003
132,0.18000000000000005
133,0.020000000000000018
134,0.31000000000000005
135,0.13
136,0.08999999999999997
137,0.64
138,0.6799999999999999
139,0.26
140,0.84
141,0.25
142,0.13
143,0.86
144,0.6799999999999999
145,0.25
146,0.22999999999999998
147,0.39
148,0.55
149,0.050000000000000044
150,0.65
151,0.24
152,0.5900000000000001
