instances,instance_hardness
1,0.17000000000000004
2,0.86
3,0.86
4,0.06999999999999995
5,0.89
6,0.85
7,0.88
8,0.8
9,0.9
10,0.13
11,0.16000000000000003
12,0.09999999999999998
13,0.79
14,0.20999999999999996
15,0.09999999999999998
16,0.30000000000000004
17,0.13
18,0.17000000000000004
19,0.22999999999999998
20,0.16000000000000003
21,0.9299999999999999
22,0.25
23,0.78
24,0.85
25,0.72
26,0.13
27,0.20999999999999996
28,0.5700000000000001
29,0.18999999999999995
30,0.20999999999999996
31,0.79
32,0.15000000000000002
33,0.18000000000000005
34,0.25
35,0.75
36,0.06999999999999995
37,0.21999999999999997
38,0.16000000000000003
39,0.20999999999999996
40,0.89
41,0.10999999999999999
42,0.28
43,0.81
44,0.12
45,0.8
46,0.17000000000000004
47,0.20999999999999996
48,0.13
49,0.6
50,0.030000000000000027
51,0.85
52,0.6799999999999999
53,0.07999999999999996
54,0.20999999999999996
55,0.09999999999999998
56,0.07999999999999996
57,0.92
58,0.65
59,0.12
60,0.30000000000000004
61,0.19999999999999996
62,0.17000000000000004
63,0.43999999999999995
64,0.21999999999999997
65,0.10999999999999999
66,0.06999999999999995
67,0.76
68,0.77
69,0.65
70,0.040000000000000036
71,0.040000000000000036
72,0.12
73,0.26
74,0.08999999999999997
75,0.06999999999999995
76,0.17000000000000004
77,0.14
78,0.74
79,0.88
80,0.86
81,0.88
82,0.06999999999999995
83,0.07999999999999996
84,0.9299999999999999
85,0.88
86,0.26
87,0.75
88,0.33999999999999997
89,0.08999999999999997
90,0.18000000000000005
91,0.88
92,0.22999999999999998
93,0.06999999999999995
94,0.21999999999999997
95,0.32999999999999996
96,0.7
97,0.20999999999999996
98,0.56
99,0.08999999999999997
100,0.16000000000000003
101,0.09999999999999998
102,0.20999999999999996
103,0.27
104,0.9
105,0.040000000000000036
106,0.13
107,0.06000000000000005
108,0.13
109,0.41000000000000003
110,0.27
111,0.31999999999999995
112,0.18999999999999995
113,0.10999999999999999
114,0.06999999999999995
115,0.41000000000000003
116,0.86
117,0.07999999999999996
118,0.06000000000000005
119,0.14
120,0.18999999999999995
121,0.040000000000000036
122,0.84
123,0.12
124,0.9299999999999999
125,0.050000000000000044
126,0.20999999999999996
127,0.22999999999999998
128,0.07999999999999996
129,0.15000000000000002
130,0.62
131,0.32999999999999996
132,0.18999999999999995
133,0.09999999999999998
134,0.18000000000000005
135,0.16000000000000003
136,0.12
137,0.9
138,0.31000000000000005
139,0.12
140,0.18000000000000005
141,0.20999999999999996
142,0.94
143,0.9
144,0.040000000000000036
145,0.16000000000000003
146,0.09999999999999998
147,0.8
148,0.08999999999999997
149,0.22999999999999998
150,0.030000000000000027
151,0.08999999999999997
152,0.22999999999999998
