instances,instance_hardness
1,0.83
2,0.71
3,0.09999999999999998
4,0.18000000000000005
5,0.25
6,0.07999999999999996
7,0.24
8,0.28
9,0.13
10,0.76
11,0.12
12,0.74
13,0.06000000000000005
14,0.91
15,0.42000000000000004
16,0.07999999999999996
17,0.06999999999999995
18,0.79
19,0.43999999999999995
20,0.18000000000000005
21,0.20999999999999996
22,0.84
23,0.32999999999999996
24,0.26
25,0.15000000000000002
26,0.6699999999999999
27,0.5900000000000001
28,0.5800000000000001
29,0.6
30,0.28
31,0.49
32,0.07999999999999996
33,0.14
34,0.79
35,0.6599999999999999
36,0.050000000000000044
37,0.8200000000000001
38,0.19999999999999996
39,0.36
40,0.75
41,0.07999999999999996
42,0.09999999999999998
43,0.14
44,0.18000000000000005
45,0.14
46,0.17000000000000004
47,0.18999999999999995
48,0.5800000000000001
49,0.06999999999999995
50,0.33999999999999997
51,0.31999999999999995
52,0.43000000000000005
53,0.21999999999999997
54,0.63
55,0.64
56,0.54
57,0.27
58,0.040000000000000036
59,0.33999999999999997
60,0.62
61,0.27
62,0.51
63,0.17000000000000004
64,0.6799999999999999
65,0.06000000000000005
66,0.18999999999999995
67,0.24
68,0.49
69,0.10999999999999999
70,0.09999999999999998
71,0.06999999999999995
72,0.29000000000000004
73,0.54
74,0.35
75,0.5700000000000001
76,0.85
77,0.84
78,0.17000000000000004
79,0.43000000000000005
80,0.5700000000000001
81,0.39
82,0.5800000000000001
83,0.12
84,0.4
85,0.41000000000000003
86,0.53
87,0.18000000000000005
88,0.30000000000000004
89,0.62
90,0.18999999999999995
91,0.12
92,0.06999999999999995
93,0.6
94,0.30000000000000004
95,0.08999999999999997
96,0.07999999999999996
97,0.4
98,0.45999999999999996
99,0.42000000000000004
100,0.24
101,0.86
102,0.69
103,0.09999999999999998
104,0.79
105,0.84
106,0.83
107,0.83
108,0.18999999999999995
109,0.5800000000000001
110,0.15000000000000002
111,0.65
112,0.39
113,0.85
114,0.12
115,0.37
116,0.71
117,0.6
118,0.16000000000000003
119,0.08999999999999997
120,0.49
121,0.78
122,0.86
123,0.07999999999999996
124,0.89
125,0.53
126,0.0
127,0.44999999999999996
128,0.10999999999999999
129,0.15000000000000002
130,0.20999999999999996
131,0.94
132,0.12
133,0.5800000000000001
134,0.26
135,0.88
136,0.88
137,0.31999999999999995
138,0.5800000000000001
139,0.44999999999999996
140,0.31999999999999995
141,0.24
142,0.37
143,0.39
144,0.29000000000000004
145,0.25
146,0.39
147,0.89
148,0.08999999999999997
149,0.43000000000000005
150,0.21999999999999997
151,0.5700000000000001
152,0.28
