instances,instance_hardness
1,0.20999999999999996
2,0.97
3,0.14
4,0.8
5,0.13
6,0.6
7,0.35
8,0.19999999999999996
9,0.76
10,0.88
11,0.35
12,0.06999999999999995
13,0.83
14,0.17000000000000004
15,0.65
16,0.09999999999999998
17,0.77
18,0.10999999999999999
19,0.07999999999999996
20,0.09999999999999998
21,0.85
22,0.10999999999999999
23,0.07999999999999996
24,0.21999999999999997
25,0.48
26,0.69
27,0.20999999999999996
28,0.08999999999999997
29,0.040000000000000036
30,0.74
31,0.52
32,0.25
33,0.8
34,0.54
35,0.77
36,0.87
37,0.19999999999999996
38,0.16000000000000003
39,0.09999999999999998
40,0.07999999999999996
41,0.13
42,0.07999999999999996
43,0.21999999999999997
44,0.18999999999999995
45,0.64
46,0.65
47,0.92
48,0.63
49,0.06999999999999995
50,0.75
51,0.88
52,0.25
53,0.27
54,0.44999999999999996
55,0.72
56,0.18999999999999995
57,0.47
58,0.08999999999999997
59,0.07999999999999996
60,0.21999999999999997
61,0.69
62,0.06000000000000005
63,0.14
64,0.16000000000000003
65,0.62
66,0.6799999999999999
67,0.6
68,0.91
69,0.13
70,0.13
71,0.08999999999999997
72,0.13
73,0.84
74,0.25
75,0.06999999999999995
76,0.65
77,0.5800000000000001
78,0.75
79,0.45999999999999996
80,0.030000000000000027
81,0.22999999999999998
82,0.050000000000000044
83,0.030000000000000027
84,0.17000000000000004
85,0.49
86,0.18000000000000005
87,0.6599999999999999
88,0.18999999999999995
89,0.31999999999999995
90,0.52
91,0.31000000000000005
92,0.12
93,0.08999999999999997
94,0.78
95,0.41000000000000003
96,0.16000000000000003
97,0.19999999999999996
98,0.5900000000000001
99,0.78
100,0.040000000000000036
101,0.30000000000000004
102,0.050000000000000044
103,0.83
104,0.76
105,0.75
106,0.26
107,0.6799999999999999
108,0.35
109,0.040000000000000036
110,0.18999999999999995
111,0.15000000000000002
112,0.17000000000000004
113,0.040000000000000036
114,0.27
115,0.14
116,0.19999999999999996
117,0.14
118,0.16000000000000003
119,0.20999999999999996
120,0.27
121,0.21999999999999997
122,0.55
123,0.040000000000000036
124,0.89
125,0.6799999999999999
126,0.25
127,0.27
128,0.9
129,0.41000000000000003
130,0.48
131,0.06999999999999995
132,0.31000000000000005
133,0.20999999999999996
134,0.37
135,0.28
136,0.06999999999999995
137,0.10999999999999999
138,0.16000000000000003
139,0.35
140,0.62
141,0.030000000000000027
142,0.15000000000000002
143,0.78
144,0.6
145,0.30000000000000004
146,0.30000000000000004
147,0.87
148,0.09999999999999998
149,0.9299999999999999
150,0.39
151,0.06000000000000005
152,0.06999999999999995
