accuracy_history,f1_history,auc_history,package,time_elapsed,classifier,sample_size,Strategy,dataset
"[0.22727272727272727, 0.2727272727272727]","[0.1714044469462426, 0.1414141414141414]","[0.4065543831168831, 0.5698051948051948]",Pyhard,5.280247436000536,5NN,0.06622516556291391,Lowest Harmfulness Sampling,1115_teachingAssistant
"[0.36363636363636365, 0.45454545454545453]","[0.23863636363636365, 0.4472860472860473]","[0.4796063311688311, 0.5761972402597402]",Pyhard,5.200332492999223,5NN,0.06622516556291391,Highest Usefulness Sampling,1115_teachingAssistant
"[0.22727272727272727, 0.36363636363636365]","[0.12237762237762237, 0.2778960170264518]","[0.46266233766233766, 0.510551948051948]",Pyhard,5.207341387999804,5NN,0.06622516556291391,"Lowest H, Highest U Sampling",1115_teachingAssistant
"[0.3181818181818182, 0.3181818181818182]","[0.1536050156739812, 0.23636363636363636]","[0.49999999999999994, 0.5376420454545454]",Pyhard,5.0508497020000505,5NN,0.06622516556291391,Highest LSC Sampling,1115_teachingAssistant
"[0.36363636363636365, 0.36363636363636365]","[0.2828282828282828, 0.2377104377104377]","[0.6178977272727273, 0.5021306818181818]",Pyhard,5.064610083999469,5NN,0.06622516556291391,Lowest N2 Sampling,1115_teachingAssistant
"[0.3181818181818182, 0.3181818181818182]","[0.25606060606060604, 0.1536050156739812]","[0.538961038961039, 0.5461647727272727]",Pyhard,5.006318769000245,5NN,0.06622516556291391,Lowest F3 Sampling,1115_teachingAssistant
"[0.36363636363636365, 0.5454545454545454]","[0.3373737373737374, 0.45454545454545453]","[0.6065340909090908, 0.6390016233766234]",Pyhard,4.969639704999281,5NN,0.06622516556291391,Lowest Harmfulness Sampling,1115_teachingAssistant
"[0.2727272727272727, 0.5]","[0.13636363636363635, 0.4014680971202711]","[0.6119115259740259, 0.593851461038961]",Pyhard,5.015555410000161,5NN,0.06622516556291391,Highest Usefulness Sampling,1115_teachingAssistant
"[0.2727272727272727, 0.5]","[0.19393939393939394, 0.4093822843822844]","[0.5839082792207793, 0.5582386363636364]",Pyhard,4.973410988000069,5NN,0.06622516556291391,"Lowest H, Highest U Sampling",1115_teachingAssistant
"[0.5, 0.45454545454545453]","[0.4857142857142857, 0.4174688057040998]","[0.6921672077922076, 0.6763392857142857]",Pyhard,4.9964810299998135,5NN,0.06622516556291391,Highest LSC Sampling,1115_teachingAssistant
"[0.3181818181818182, 0.2727272727272727]","[0.1536050156739812, 0.2883572567783094]","[0.43019480519480513, 0.5783279220779222]",Pyhard,5.009932375000062,5NN,0.06622516556291391,Lowest N2 Sampling,1115_teachingAssistant
"[0.45454545454545453, 0.36363636363636365]","[0.41539799913005654, 0.26515151515151514]","[0.6289569805194805, 0.6218547077922078]",Pyhard,4.990918122000039,5NN,0.06622516556291391,Lowest F3 Sampling,1115_teachingAssistant
"[0.3181818181818182, 0.3181818181818182]","[0.1536050156739812, 0.2551834130781499]","[0.5, 0.577922077922078]",Pyhard,4.997135235000314,5NN,0.06622516556291391,Lowest Harmfulness Sampling,1115_teachingAssistant
"[0.36363636363636365, 0.09090909090909091]","[0.2916666666666667, 0.06698564593301436]","[0.39732142857142855, 0.3289366883116883]",Pyhard,5.005407657000433,5NN,0.06622516556291391,Highest Usefulness Sampling,1115_teachingAssistant
"[0.4090909090909091, 0.36363636363636365]","[0.3260869565217392, 0.3473249238799478]","[0.5790381493506493, 0.46306818181818177]",Pyhard,4.983688732999326,5NN,0.06622516556291391,"Lowest H, Highest U Sampling",1115_teachingAssistant
"[0.3181818181818182, 0.2727272727272727]","[0.23636363636363636, 0.26359286646367985]","[0.5, 0.5395698051948051]",Pyhard,5.005057478000708,5NN,0.06622516556291391,Highest LSC Sampling,1115_teachingAssistant
"[0.45454545454545453, 0.36363636363636365]","[0.35795454545454547, 0.2828282828282828]","[0.5625, 0.5564123376623377]",Pyhard,5.042269875999409,5NN,0.06622516556291391,Lowest N2 Sampling,1115_teachingAssistant
"[0.5454545454545454, 0.4090909090909091]","[0.5476294040887342, 0.3115066751430388]","[0.6656858766233766, 0.523538961038961]",Pyhard,5.01447220999944,5NN,0.06622516556291391,Lowest F3 Sampling,1115_teachingAssistant
"[0.3181818181818182, 0.2727272727272727]","[0.2121212121212121, 0.21881977671451358]","[0.49999999999999994, 0.6123173701298701]",Pyhard,4.998535089000143,5NN,0.06622516556291391,Lowest Harmfulness Sampling,1115_teachingAssistant
"[0.3181818181818182, 0.4090909090909091]","[0.2104895104895105, 0.4020365599312967]","[0.437601461038961, 0.5150162337662338]",Pyhard,5.22712087599939,5NN,0.06622516556291391,Highest Usefulness Sampling,1115_teachingAssistant
"[0.4090909090909091, 0.45454545454545453]","[0.3290802764486975, 0.4541958041958042]","[0.541599025974026, 0.5586444805194805]",Pyhard,5.283414413000173,5NN,0.06622516556291391,"Lowest H, Highest U Sampling",1115_teachingAssistant
"[0.3181818181818182, 0.45454545454545453]","[0.16498316498316498, 0.41853315766359245]","[0.36150568181818177, 0.6339285714285714]",Pyhard,5.403719666999677,5NN,0.06622516556291391,Highest LSC Sampling,1115_teachingAssistant
"[0.36363636363636365, 0.3181818181818182]","[0.27412587412587414, 0.24297520661157027]","[0.4717938311688311, 0.5369318181818181]",Pyhard,5.088171128000795,5NN,0.06622516556291391,Lowest N2 Sampling,1115_teachingAssistant
"[0.22727272727272727, 0.3181818181818182]","[0.1636363636363636, 0.1590909090909091]","[0.4468344155844156, 0.5594561688311688]",Pyhard,5.051611394999782,5NN,0.06622516556291391,Lowest F3 Sampling,1115_teachingAssistant
"[0.3181818181818182, 0.36363636363636365]","[0.1536050156739812, 0.33761140819964347]","[0.5, 0.5552962662337663]",Pyhard,5.193461005000245,5NN,0.06622516556291391,Lowest Harmfulness Sampling,1115_teachingAssistant
"[0.3181818181818182, 0.36363636363636365]","[0.25757575757575757, 0.375]","[0.48711444805194803, 0.578125]",Pyhard,5.089885886999582,5NN,0.06622516556291391,Highest Usefulness Sampling,1115_teachingAssistant
"[0.3181818181818182, 0.45454545454545453]","[0.1536050156739812, 0.44718439455281556]","[0.4642857142857143, 0.6347402597402597]",Pyhard,5.045969256000717,5NN,0.06622516556291391,"Lowest H, Highest U Sampling",1115_teachingAssistant
"[0.4090909090909091, 0.36363636363636365]","[0.30991735537190085, 0.3390151515151515]","[0.5698051948051948, 0.609172077922078]",Pyhard,5.0376581619993885,5NN,0.06622516556291391,Highest LSC Sampling,1115_teachingAssistant
"[0.2727272727272727, 0.36363636363636365]","[0.18729096989966554, 0.2684297520661157]","[0.4339488636363636, 0.6382913961038961]",Pyhard,4.98937065500013,5NN,0.06622516556291391,Lowest N2 Sampling,1115_teachingAssistant
"[0.18181818181818182, 0.2727272727272727]","[0.13791162397973541, 0.14685314685314685]","[0.4181209415584415, 0.4783887987012987]",Pyhard,4.982903010999507,5NN,0.06622516556291391,Lowest F3 Sampling,1115_teachingAssistant
"[0.4090909090909091, 0.5454545454545454]","[0.3581267217630854, 0.5454545454545454]","[0.5644277597402597, 0.6594967532467533]",Pyhard,4.993053721000251,C4.5,0.06622516556291391,Lowest Harmfulness Sampling,1115_teachingAssistant
"[0.45454545454545453, 0.45454545454545453]","[0.42683519688867283, 0.4686820356676816]","[0.5896915584415584, 0.5958806818181818]",Pyhard,4.963023318000523,C4.5,0.06622516556291391,Highest Usefulness Sampling,1115_teachingAssistant
"[0.45454545454545453, 0.6363636363636364]","[0.38636363636363635, 0.6016811471356927]","[0.5875608766233766, 0.7159090909090908]",Pyhard,4.9564109460006875,C4.5,0.06622516556291391,"Lowest H, Highest U Sampling",1115_teachingAssistant
"[0.36363636363636365, 0.5]","[0.27206851119894593, 0.43996786042240593]","[0.5340909090909091, 0.6366680194805194]",Pyhard,5.007979501000591,C4.5,0.06622516556291391,Highest LSC Sampling,1115_teachingAssistant
"[0.36363636363636365, 0.5909090909090909]","[0.36005171299288946, 0.5941558441558442]","[0.5279017857142857, 0.6960227272727272]",Pyhard,4.987330554999971,C4.5,0.06622516556291391,Lowest N2 Sampling,1115_teachingAssistant
"[0.4090909090909091, 0.5]","[0.38383838383838376, 0.4307070707070707]","[0.5644277597402597, 0.6087662337662337]",Pyhard,4.962039512999581,C4.5,0.06622516556291391,Lowest F3 Sampling,1115_teachingAssistant
"[0.36363636363636365, 0.5909090909090909]","[0.3233382778837324, 0.5727272727272728]","[0.5319602272727272, 0.684760551948052]",Pyhard,4.93986005700026,C4.5,0.06622516556291391,Lowest Harmfulness Sampling,1115_teachingAssistant
"[0.5, 0.45454545454545453]","[0.48261562998405105, 0.43686868686868685]","[0.6337256493506493, 0.5859374999999999]",Pyhard,4.979890503000206,C4.5,0.06622516556291391,Highest Usefulness Sampling,1115_teachingAssistant
"[0.4090909090909091, 0.5454545454545454]","[0.3003814367450731, 0.5083425346583241]","[0.5689935064935064, 0.6640625]",Pyhard,4.964446549999593,C4.5,0.06622516556291391,"Lowest H, Highest U Sampling",1115_teachingAssistant
"[0.6363636363636364, 0.7272727272727273]","[0.6370920745920746, 0.7171717171717172]","[0.7279829545454546, 0.8023538961038962]",Pyhard,5.007078485999955,C4.5,0.06622516556291391,Highest LSC Sampling,1115_teachingAssistant
"[0.2727272727272727, 0.4090909090909091]","[0.2736305361305362, 0.3996212121212121]","[0.4567775974025974, 0.5622970779220778]",Pyhard,5.027577361000112,C4.5,0.06622516556291391,Lowest N2 Sampling,1115_teachingAssistant
"[0.4090909090909091, 0.6363636363636364]","[0.348596256684492, 0.6357111787733797]","[0.5673701298701298, 0.7204748376623376]",Pyhard,5.009933303999787,C4.5,0.06622516556291391,Lowest F3 Sampling,1115_teachingAssistant
"[0.4090909090909091, 0.5]","[0.3598484848484848, 0.4623376623376624]","[0.5622970779220778, 0.6262175324675323]",Pyhard,5.005075568000393,C4.5,0.06622516556291391,Lowest Harmfulness Sampling,1115_teachingAssistant
