instances,feature_kDN,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_MV,feature_CB,feature_N1,feature_N2,feature_LSC,feature_LSR,feature_Harmfulness,feature_Usefulness,algo_bagging,algo_gradient_boosting,algo_linear_svm,algo_logistic_regression,algo_naive_bayes,algo_random_forest,algo_rbf_svm
1,0.0,0.9979959919839679,1.0,1,1,0.999999999776028,0.9999999995520561,0.0,0.0,0.0,0.9843485780036627,0.9819639278557114,0.2150903195142746,0,469.0,9.992007221626413e-16,0.0002737700904208235,6.775232522169178e-06,0.05062787595968317,2.6739770401631737e-10,9.992007221626413e-16,9.402998033025424e-06
2,0.0,1.0,1.0,2,2,0.9999999999999936,0.9999999999999871,0.0,0.0,0.0,0.9807640145088304,1.0,0.31493422389030457,0,455.0,9.992007221626413e-16,0.0002811923487580237,6.37473066622429e-05,0.012250440268302892,7.771561172376129e-15,9.992007221626413e-16,0.0008817793578327858
3,0.0,1.0,1.0,2,2,0.9999999999999991,0.9999999999999983,0.0,0.0,0.0,0.9742004868751327,1.0,0.33577990531921387,0,443.0,9.992007221626413e-16,0.0002817882768748637,3.483433583893365e-05,0.009254427056977139,9.992007221626413e-16,9.992007221626413e-16,0.0012170172267196718
4,0.0,1.0,1.0,2,2,0.9999999107190991,0.9999998214381982,0.0,0.0,0.0,0.9523518767443095,0.8997995991983968,0.1759190559387207,0,480.0,9.992007221626413e-16,0.0002811151726638393,0.007880634156211107,0.10523320167316488,1.0261521774429934e-07,9.992007221626413e-16,0.002156668065294375
5,0.0,1.0,1.0,2,2,0.9999999999999998,0.9999999999999996,0.0,0.0,0.0,0.9527521859518103,1.0,0.35533007979393005,0,418.0,9.992007221626413e-16,0.0002751237162709865,2.4691130671094104e-05,0.008243758783597493,9.992007221626413e-16,9.992007221626413e-16,0.001952901937181141
6,0.0,0.9979959919839679,1.0,1,1,0.9999999999964739,0.9999999999929478,0.0,0.0,0.0,0.961656858924976,0.969939879759519,0.26737889647483826,0,397.0,9.992007221626413e-16,0.0002782643221025075,4.547996221357487e-07,0.02821566420032822,3.509570412071311e-12,9.992007221626413e-16,0.004779009904624654
7,0.0,0.9979959919839679,1.0,1,1,0.9999999999588072,0.9999999999176141,0.0,0.0,0.0,0.968708566925218,0.9899799599198397,0.20449645817279816,0,482.0,9.992007221626413e-16,0.00028122784498093906,3.5574256116850284e-06,0.04326205143856309,4.767124473078266e-11,9.992007221626413e-16,1.5959563937209815e-06
8,0.0,0.9979959919839679,1.0,1,1,0.9999999999263147,0.9999999998526294,0.0,0.0,0.0,0.9831359337611536,0.9559118236472945,0.19171884655952454,0,476.0,9.992007221626413e-16,0.00027786132407074313,5.326774379454052e-06,0.04824751545531561,8.149063646470889e-11,9.992007221626413e-16,1.956802098741397e-06
9,0.0,0.9979959919839679,1.0,1,1,0.9999999999945552,0.9999999999891105,0.0,0.0,0.0,0.981143171906818,0.9939879759519038,0.22001458704471588,0,482.0,9.992007221626413e-16,0.00027980156939545417,9.90243623334895e-07,0.033969274108399825,5.699374305852619e-12,9.992007221626413e-16,1.3973448847667786e-06
10,0.0,1.0,1.0,2,2,0.9999999999974949,0.9999999999949899,0.0,0.0,0.0,0.9833193103376718,0.9979959919839679,0.27394598722457886,0,459.0,9.992007221626413e-16,0.0002811984670091568,0.00035229814929800546,0.02730651006657771,2.8957058972929626e-12,9.992007221626413e-16,0.0008519990856948835
11,0.0,1.0,1.0,2,2,0.9999999999998703,0.9999999999997405,0.0,0.0,0.0,0.9825236215895695,1.0,0.29370900988578796,0,466.0,9.992007221626413e-16,0.00027529074356339497,0.00015558106045725497,0.01831314238175121,1.3771206397451574e-13,9.992007221626413e-16,0.0007450928322836022
12,0.0,1.0,1.0,2,2,0.9999999999665716,0.9999999999331431,0.0,0.0,0.0,0.9596580167664288,0.9979959919839679,0.2316320836544037,0,490.0,9.992007221626413e-16,0.0002796771876877209,0.0007552447211909409,0.038511655040768374,3.200608667048143e-11,9.992007221626413e-16,0.000707764334407495
13,0.0,0.9979959919839679,1.0,1,1,1.0,1.0,0.0,0.0,0.0,0.9820879405491175,1.0,0.35787492990493774,0,396.0,9.992007221626413e-16,0.00028002311266241695,4.733503257253128e-10,0.005863444874741967,9.992007221626413e-16,9.992007221626413e-16,0.004464449725502315
14,0.0,0.9979959919839679,1.0,1,1,0.9999999999714371,0.999999999942874,0.0,0.0,0.0,0.9853217707380224,0.9959919839679359,0.21008148789405823,0,483.0,9.992007221626413e-16,0.00027565618677778626,2.5877738797962015e-06,0.041480735008277196,3.182019092716214e-11,9.992007221626413e-16,1.5693574686243993e-06
15,0.0,0.9979959919839679,1.0,1,1,0.999999999999784,0.9999999999995678,0.0,0.0,0.0,0.9944130177439223,0.9919839679358717,0.24125076830387115,0,467.0,9.992007221626413e-16,0.0002734916178459075,1.759420922319771e-07,0.02283965227506695,1.9744206269936208e-13,9.992007221626413e-16,2.143840832429605e-06
16,0.0,0.9979959919839679,1.0,1,1,0.9999999999491418,0.9999999998982836,0.0,0.0,0.0,0.9943385497156829,0.9959919839679359,0.2194749265909195,0,482.0,9.992007221626413e-16,0.0002797897703684347,3.375676805470742e-06,0.043267539216904405,5.002596115277564e-11,9.992007221626413e-16,3.0972688357360764e-06
17,0.0,0.9979959919839679,1.0,1,1,0.9999999999515197,0.9999999999030392,0.0,0.0,0.0,0.9978053817897292,0.9959919839679359,0.20694135129451752,0,483.0,9.992007221626413e-16,0.00027690798586309505,3.584022174876852e-06,0.04420999801858411,6.030149713089604e-11,9.992007221626413e-16,1.7753228439627503e-06
18,0.0,0.9979959919839679,1.0,1,1,0.9999999999796723,0.9999999999593444,0.0,0.0,0.0,0.9637794431319232,1.0,0.2226942479610443,0,482.0,9.992007221626413e-16,0.00027739617689537786,1.9889903783626038e-06,0.038362644108516884,2.4426149991860123e-11,9.992007221626413e-16,2.2756787245498743e-06
19,0.0,1.0,1.0,2,2,0.9999999999999993,0.9999999999999986,0.0,0.0,0.0,0.9759074283128981,1.0,0.3337290287017822,0,445.0,9.992007221626413e-16,0.0002739692146388656,3.337373160771481e-05,0.009325638983082786,1.2989609388114339e-15,9.992007221626413e-16,0.0012063031364604455
20,0.0,0.9979959919839679,1.0,1,1,0.9999999999999991,0.9999999999999982,0.0,0.0,0.0,0.992453386601606,1.0,0.3003885746002197,0,450.0,9.992007221626413e-16,0.00027687107258060693,6.93259089429332e-09,0.010785054855126425,1.1213252548714087e-15,9.992007221626413e-16,4.8826723800813194e-06
21,0.0,1.0,1.0,2,2,0.9999996657224979,0.9999993314449958,0.0,0.0,0.0,0.9431073276063269,0.655310621242485,0.16720664501190186,0,474.0,9.992007221626413e-16,0.00028371162451441107,0.011357279116690672,0.12775312593348792,3.724527993445631e-07,0.016162375163281124,0.006061372049298276
22,0.0,0.9979959919839679,1.0,1,1,0.9999999999834672,0.9999999999669344,0.0,0.0,0.0,0.9755495750748985,0.9879759519038076,0.2084428071975708,0,479.0,9.992007221626413e-16,0.0002754979491861147,2.2079093280921034e-06,0.03935973771873956,1.6081780351983275e-11,9.992007221626413e-16,1.7841108819908593e-06
23,0.0,0.9979959919839679,1.0,1,1,0.9999999999980371,0.9999999999960744,0.0,0.0,0.0,0.9923888239315074,1.0,0.23616433143615723,0,476.0,9.992007221626413e-16,0.00027609661758115005,5.276377517908309e-07,0.029043089916292942,1.7749801628514236e-12,9.992007221626413e-16,1.6713970087587005e-06
24,0.0,0.9979959919839679,1.0,1,1,0.9999999999896008,0.9999999999792014,0.0,0.0,0.0,0.9806888003967437,0.9899799599198397,0.21416990458965302,0,481.0,9.992007221626413e-16,0.0002771813198934737,1.5565637008982025e-06,0.037102243703024215,9.78708225579351e-12,9.992007221626413e-16,1.5069028185678466e-06
25,0.0,1.0,1.0,2,2,0.9999999999977707,0.9999999999955412,0.0,0.0,0.0,0.9861797848010099,1.0,0.25388985872268677,0,486.0,9.992007221626413e-16,0.00027925077111899015,0.0003352041169795958,0.026678528079705905,2.2393198406716347e-12,9.992007221626413e-16,0.0007297219489247395
26,0.0,1.0,1.0,2,2,0.9999999989858956,0.9999999979717913,0.0,0.0,0.0,0.9857903665545824,0.9919839679358717,0.2001713067293167,0,496.0,9.992007221626413e-16,0.00027591853040021116,0.0020881735884884056,0.05957230617197242,1.1360422609448426e-09,0.0020100671707010895,0.0009680785085993349
27,0.0,0.9979959919839679,1.0,1,1,0.9999999999999603,0.9999999999999204,0.0,0.0,0.0,0.9691623522735308,0.9979959919839679,0.2959802448749542,0,439.0,9.992007221626413e-16,0.0002797358902073435,4.08329823413023e-08,0.01604331538403382,4.2987835513487095e-14,9.992007221626413e-16,0.0011047588585864525
28,0.0,1.0,1.0,2,2,0.9999999999999567,0.9999999999999134,0.0,0.0,0.0,0.9924476501806974,1.0,0.29101601243019104,0,467.0,9.992007221626413e-16,0.00027479995689791154,0.0001045952678430409,0.015713952699206172,4.798383912430068e-14,9.992007221626413e-16,0.0008332016848355946
