accuracy_history,f1_history,auc_history,package,time_elapsed,classifier,sample_size,Strategy,dataset
"[0.501008064516129, 0.688508064516129]","[0.42060537954415095, 0.6728088223887908]","[0.8158070001329321, 0.9030325391637944]",Pyhard,12.307658098999923,5NN,0.002,Lowest Harmfulness Sampling,60_waveform-5000
"[0.49798387096774194, 0.7096774193548387]","[0.40474228343849633, 0.7118589892980486]","[0.7924962321356082, 0.8926003474835127]",Pyhard,11.963777565999976,5NN,0.002,Highest Usefulness Sampling,60_waveform-5000
"[0.6098790322580645, 0.6522177419354839]","[0.5994010846845073, 0.6527720823231569]","[0.7200180635682161, 0.8402327856202279]",Pyhard,13.348700501000053,5NN,0.002,"Lowest H, Highest U Sampling",60_waveform-5000
"[0.4657258064516129, 0.530241935483871]","[0.4226248277481461, 0.49955809613494534]","[0.7888283676368023, 0.8613271973046766]",Pyhard,11.917129631999956,5NN,0.002,Highest LSC Sampling,60_waveform-5000
"[0.39919354838709675, 0.71875]","[0.3529133425157814, 0.7147007794918352]","[0.7314920016958865, 0.9109737631562601]",Pyhard,12.056447303000027,5NN,0.002,Lowest N2 Sampling,60_waveform-5000
"[0.6764112903225806, 0.6703629032258065]","[0.6697017962966604, 0.6636002534768232]","[0.7608110088139199, 0.7975184979227466]",Pyhard,11.84189741299997,5NN,0.002,Lowest F3 Sampling,60_waveform-5000
"[0.47580645161290325, 0.7298387096774194]","[0.3860810258759227, 0.7159244589152233]","[0.7813287678012877, 0.9065509812697101]",Pyhard,12.290170834000037,5NN,0.002,Lowest Harmfulness Sampling,60_waveform-5000
"[0.6098790322580645, 0.6844758064516129]","[0.5911522165203048, 0.6826640077676039]","[0.8326258074778998, 0.8613986840882748]",Pyhard,12.238724345999913,5NN,0.002,Highest Usefulness Sampling,60_waveform-5000
"[0.7086693548387096, 0.5997983870967742]","[0.6972082486289601, 0.5960133218360885]","[0.8040006468081122, 0.8185186424408681]",Pyhard,12.209095966000064,5NN,0.002,"Lowest H, Highest U Sampling",60_waveform-5000
"[0.5826612903225806, 0.6875]","[0.5361815703973278, 0.6796449784119968]","[0.8175102388720659, 0.8466261026285309]",Pyhard,12.481240006999997,5NN,0.002,Highest LSC Sampling,60_waveform-5000
"[0.43044354838709675, 0.8125]","[0.34597933243261486, 0.8114968775616731]","[0.7704738426366119, 0.9381990861646531]",Pyhard,12.728367703999993,5NN,0.002,Lowest N2 Sampling,60_waveform-5000
"[0.5090725806451613, 0.655241935483871]","[0.4092032105973697, 0.6473397232579737]","[0.8056719724091418, 0.8178719908029732]",Pyhard,12.339410255999951,5NN,0.002,Lowest F3 Sampling,60_waveform-5000
"[0.4254032258064516, 0.717741935483871]","[0.35341183721135533, 0.6958173303272367]","[0.7621978707662781, 0.9007783488550598]",Pyhard,11.698583900000017,5NN,0.002,Lowest Harmfulness Sampling,60_waveform-5000
"[0.5282258064516129, 0.6875]","[0.4193222313463578, 0.6799002297030291]","[0.8298972825072444, 0.8600584226324641]",Pyhard,11.799966784999924,5NN,0.002,Highest Usefulness Sampling,60_waveform-5000
"[0.49798387096774194, 0.6935483870967742]","[0.4110523087230162, 0.674637454214752]","[0.7526006307197733, 0.876736861546796]",Pyhard,11.753271635000033,5NN,0.002,"Lowest H, Highest U Sampling",60_waveform-5000
"[0.5453629032258065, 0.5383064516129032]","[0.4462507130604953, 0.43712781871611084]","[0.812768579778081, 0.8562825884131027]",Pyhard,12.171927703999927,5NN,0.002,Highest LSC Sampling,60_waveform-5000
"[0.6118951612903226, 0.7036290322580645]","[0.5544174190606322, 0.6980186105726294]","[0.767608722479465, 0.8901321749296973]",Pyhard,12.320860333000041,5NN,0.002,Lowest N2 Sampling,60_waveform-5000
"[0.4949596774193548, 0.6431451612903226]","[0.46515649546431154, 0.6438829056892833]","[0.7667385989209983, 0.8074120704831615]",Pyhard,11.904139299999997,5NN,0.002,Lowest F3 Sampling,60_waveform-5000
"[0.5917338709677419, 0.7086693548387096]","[0.5742994796950159, 0.6994470719822841]","[0.7961122623958631, 0.8915467041009447]",Pyhard,11.261911131000033,5NN,0.002,Lowest Harmfulness Sampling,60_waveform-5000
"[0.6078629032258065, 0.655241935483871]","[0.5830531714114703, 0.6459103959390279]","[0.7876952703550042, 0.8381257644128319]",Pyhard,11.369256482000083,5NN,0.002,Highest Usefulness Sampling,60_waveform-5000
"[0.7298387096774194, 0.7661290322580645]","[0.722272718345701, 0.7663268021568532]","[0.8571806328377325, 0.9026214720527667]",Pyhard,11.35093286499989,5NN,0.002,"Lowest H, Highest U Sampling",60_waveform-5000
"[0.563508064516129, 0.7439516129032258]","[0.5469607406212575, 0.742444646758973]","[0.8097571884474666, 0.895306144764012]",Pyhard,11.627409472000181,5NN,0.002,Highest LSC Sampling,60_waveform-5000
"[0.6169354838709677, 0.7288306451612904]","[0.5671029881982351, 0.7202041374481619]","[0.7892281022265467, 0.8904735596248272]",Pyhard,11.987078578999899,5NN,0.002,Lowest N2 Sampling,60_waveform-5000
"[0.5463709677419355, 0.5897177419354839]","[0.4419461523076017, 0.5786055225763272]","[0.8013736617744254, 0.8266754917441702]",Pyhard,11.61617562299989,5NN,0.002,Lowest F3 Sampling,60_waveform-5000
"[0.6643145161290323, 0.6754032258064516]","[0.6335244518717367, 0.6110754934924363]","[0.8438220314652292, 0.8994760544598019]",Pyhard,12.498852909000107,5NN,0.002,Lowest Harmfulness Sampling,60_waveform-5000
"[0.40725806451612906, 0.6129032258064516]","[0.3139221213041617, 0.5857240052544321]","[0.780499838053349, 0.8109886927151027]",Pyhard,12.45735348900007,5NN,0.002,Highest Usefulness Sampling,60_waveform-5000
"[0.46875, 0.7066532258064516]","[0.3642256107270339, 0.7023451893498978]","[0.8102252908541071, 0.8658078769482208]",Pyhard,12.426180663999958,5NN,0.002,"Lowest H, Highest U Sampling",60_waveform-5000
"[0.4344758064516129, 0.6280241935483871]","[0.36061245690716576, 0.6288636676761984]","[0.7410463760362954, 0.8668597377484015]",Pyhard,12.780835517000014,5NN,0.002,Highest LSC Sampling,60_waveform-5000
"[0.5625, 0.71875]","[0.4694649064493846, 0.7137195704068066]","[0.808461225167498, 0.9028511327730186]",Pyhard,13.079672298999867,5NN,0.002,Lowest N2 Sampling,60_waveform-5000
"[0.6814516129032258, 0.7036290322580645]","[0.6763622941729457, 0.6778357447023505]","[0.831290519218717, 0.8585091262995329]",Pyhard,12.682583078999869,5NN,0.002,Lowest F3 Sampling,60_waveform-5000
"[0.5705645161290323, 0.6401209677419355]","[0.5613651001918789, 0.6352229695541365]","[0.677998139739342, 0.730041515045952]",Pyhard,11.639628669000103,C4.5,0.002,Lowest Harmfulness Sampling,60_waveform-5000
"[0.625, 0.5584677419354839]","[0.6238985057601784, 0.5520001236210723]","[0.718515833557601, 0.6675592244700244]",Pyhard,11.519708492000063,C4.5,0.002,Highest Usefulness Sampling,60_waveform-5000
"[0.4163306451612903, 0.5705645161290323]","[0.41777096867915703, 0.5440721479400216]","[0.5614604519660871, 0.6766924294906185]",Pyhard,11.561109733999956,C4.5,0.002,"Lowest H, Highest U Sampling",60_waveform-5000
"[0.6320564516129032, 0.6401209677419355]","[0.6240236111170653, 0.6389701408728398]","[0.7234193625380925, 0.7297455415400619]",Pyhard,11.747504693999872,C4.5,0.002,Highest LSC Sampling,60_waveform-5000
"[0.4586693548387097, 0.6088709677419355]","[0.4624962473290136, 0.6000998061169555]","[0.5940733514890177, 0.7064490096698304]",Pyhard,12.070479738999893,C4.5,0.002,Lowest N2 Sampling,60_waveform-5000
"[0.4153225806451613, 0.5262096774193549]","[0.4159070655519448, 0.47675554258146663]","[0.5612939106043132, 0.646281960045195]",Pyhard,11.65677218399992,C4.5,0.002,Lowest F3 Sampling,60_waveform-5000
"[0.5211693548387096, 0.6280241935483871]","[0.48149421256748914, 0.6229571725148475]","[0.6422098928132918, 0.7214401246925913]",Pyhard,12.143759519000014,C4.5,0.002,Lowest Harmfulness Sampling,60_waveform-5000
"[0.48286290322580644, 0.4808467741935484]","[0.46318972801543873, 0.4841340290622294]","[0.6111219052698598, 0.6108976494649172]",Pyhard,12.176746571999956,C4.5,0.002,Highest Usefulness Sampling,60_waveform-5000
"[0.4969758064516129, 0.5342741935483871]","[0.4993017528190188, 0.5335901201818211]","[0.622764537172655, 0.6508445440453197]",Pyhard,12.189847555000142,C4.5,0.002,"Lowest H, Highest U Sampling",60_waveform-5000
"[0.4264112903225806, 0.6360887096774194]","[0.41839692732723366, 0.6303654238014531]","[0.5699235514129701, 0.7272038435713741]",Pyhard,12.47450999900002,C4.5,0.002,Highest LSC Sampling,60_waveform-5000
"[0.47681451612903225, 0.5463709677419355]","[0.4687035257797065, 0.551396079608034]","[0.6074809105394221, 0.6600953151019403]",Pyhard,12.688070987999936,C4.5,0.002,Lowest N2 Sampling,60_waveform-5000
"[0.53125, 0.6350806451612904]","[0.5089637487178132, 0.6194134872625692]","[0.6486758693521771, 0.7273049018507516]",Pyhard,12.29516238999986,C4.5,0.002,Lowest F3 Sampling,60_waveform-5000
"[0.34475806451612906, 0.6612903225806451]","[0.2716839950207912, 0.6348780724042943]","[0.5062579016446653, 0.7472594952472329]",Pyhard,11.74697670699993,C4.5,0.002,Lowest Harmfulness Sampling,60_waveform-5000
"[0.5100806451612904, 0.3689516129032258]","[0.5145678983176681, 0.3645228334183736]","[0.6322526534591041, 0.5260434532482565]",Pyhard,11.773444315999996,C4.5,0.002,Highest Usefulness Sampling,60_waveform-5000
"[0.33064516129032256, 0.4949596774193548]","[0.3123298887111423, 0.4815189837019667]","[0.49749708272974513, 0.6212622216032717]",Pyhard,11.776333494000028,C4.5,0.002,"Lowest H, Highest U Sampling",60_waveform-5000
"[0.27419354838709675, 0.4274193548387097]","[0.2515174842434797, 0.43108151827888436]","[0.4565570014022664, 0.5702951966541672]",Pyhard,11.913967609999872,C4.5,0.002,Highest LSC Sampling,60_waveform-5000
"[0.49798387096774194, 0.5826612903225806]","[0.46648288887081385, 0.556701508982228]","[0.6232746327365383, 0.6878190158735681]",Pyhard,12.232307535000018,C4.5,0.002,Lowest N2 Sampling,60_waveform-5000
"[0.5090725806451613, 0.6159274193548387]","[0.5084502378128212, 0.5912208690315797]","[0.6315962556367257, 0.7117975461919079]",Pyhard,11.765454135000027,C4.5,0.002,Lowest F3 Sampling,60_waveform-5000
"[0.5514112903225806, 0.5685483870967742]","[0.5433627785647397, 0.5687055239739471]","[0.66248667563881, 0.6764393205963298]",Pyhard,11.172772889000044,C4.5,0.002,Lowest Harmfulness Sampling,60_waveform-5000
"[0.5, 0.6330645161290323]","[0.4898065227654292, 0.6173826834761984]","[0.6258464964346384, 0.7257028879283868]",Pyhard,11.185252615000081,C4.5,0.002,Highest Usefulness Sampling,60_waveform-5000
"[0.3558467741935484, 0.6703629032258065]","[0.3377753167571215, 0.6703778343704135]","[0.5172328486985045, 0.7526585543542341]",Pyhard,11.197349607999968,C4.5,0.002,"Lowest H, Highest U Sampling",60_waveform-5000
"[0.3286290322580645, 0.6159274193548387]","[0.3330407378212479, 0.6064433776713409]","[0.4964450518089244, 0.7124450390879746]",Pyhard,11.4078903300001,C4.5,0.002,Highest LSC Sampling,60_waveform-5000
"[0.5272177419354839, 0.6612903225806451]","[0.5225035979634758, 0.6627622597191775]","[0.6459500015170108, 0.7459925884477807]",Pyhard,11.71717761900004,C4.5,0.002,Lowest N2 Sampling,60_waveform-5000
"[0.3064516129032258, 0.5735887096774194]","[0.29977761895038363, 0.5453872657097668]","[0.4795101838802187, 0.6796577824066814]",Pyhard,11.296055069999966,C4.5,0.002,Lowest F3 Sampling,60_waveform-5000
"[0.5211693548387096, 0.5433467741935484]","[0.5212237741476949, 0.5023471438209314]","[0.639880644682864, 0.6589676575884673]",Pyhard,12.199234982999997,C4.5,0.002,Lowest Harmfulness Sampling,60_waveform-5000
"[0.4959677419354839, 0.46169354838709675]","[0.4623814840134258, 0.406170445370341]","[0.622479309643759, 0.5969549267869252]",Pyhard,12.328134985999895,C4.5,0.002,Highest Usefulness Sampling,60_waveform-5000
"[0.48185483870967744, 0.6058467741935484]","[0.47076769434982974, 0.5932373323473816]","[0.6103756367316555, 0.7050641108844209]",Pyhard,12.277731330000051,C4.5,0.002,"Lowest H, Highest U Sampling",60_waveform-5000
"[0.5201612903225806, 0.6149193548387096]","[0.47705365162118285, 0.6179461074406617]","[0.6416228352693374, 0.711173116807473]",Pyhard,12.453689239000141,C4.5,0.002,Highest LSC Sampling,60_waveform-5000
"[0.3477822580645161, 0.6149193548387096]","[0.3425921179875283, 0.6045397175311107]","[0.511384030223443, 0.7116237942922901]",Pyhard,12.748921255000141,C4.5,0.002,Lowest N2 Sampling,60_waveform-5000
"[0.6088709677419355, 0.5463709677419355]","[0.5976807718065871, 0.54721582830096]","[0.7069298832649862, 0.6592364437972056]",Pyhard,12.30839704799996,C4.5,0.002,Lowest F3 Sampling,60_waveform-5000
"[0.5332661290322581, 0.5766129032258065]","[0.47388681565813784, 0.5243592372505639]","[0.6937853813564918, 0.8461816633420275]",Pyhard,11.512795020999874,NB,0.002,Lowest Harmfulness Sampling,60_waveform-5000
"[0.38911290322580644, 0.5473790322580645]","[0.3486680521786523, 0.519554153796275]","[0.6370935699260165, 0.8624680263719235]",Pyhard,11.499298170999964,NB,0.002,Highest Usefulness Sampling,60_waveform-5000
"[0.3548387096774194, 0.6350806451612904]","[0.28443964950416817, 0.6086874637959658]","[0.5337201659448367, 0.7935575620076021]",Pyhard,11.534868003000156,NB,0.002,"Lowest H, Highest U Sampling",60_waveform-5000
"[0.3336693548387097, 0.501008064516129]","[0.1773449486671756, 0.4160063114797035]","[0.5761290922070639, 0.7671789648035681]",Pyhard,11.750685965999992,NB,0.002,Highest LSC Sampling,60_waveform-5000
"[0.4344758064516129, 0.6401209677419355]","[0.325619115092156, 0.6285527892314609]","[0.6212337618555995, 0.8779817007789694]",Pyhard,12.083828074999929,NB,0.002,Lowest N2 Sampling,60_waveform-5000
"[0.3387096774193548, 0.5080645161290323]","[0.17437688821752265, 0.49540333432628764]","[0.5343678684992725, 0.7353080411605443]",Pyhard,11.708987473999969,NB,0.002,Lowest F3 Sampling,60_waveform-5000
"[0.3548387096774194, 0.6512096774193549]","[0.23024655662470941, 0.5916983465887827]","[0.5988673063251155, 0.8289268129062327]",Pyhard,12.168692174999933,NB,0.002,Lowest Harmfulness Sampling,60_waveform-5000
"[0.49899193548387094, 0.6330645161290323]","[0.40180557116857746, 0.6292447147631008]","[0.7022951086065056, 0.8197570540540432]",Pyhard,12.19194807200006,NB,0.002,Highest Usefulness Sampling,60_waveform-5000
"[0.35181451612903225, 0.6189516129032258]","[0.20907970814331023, 0.6017552397105103]","[0.5234830437310858, 0.8066534558628453]",Pyhard,12.183695079000017,NB,0.002,"Lowest H, Highest U Sampling",60_waveform-5000
"[0.4798387096774194, 0.5776209677419355]","[0.38704994400628273, 0.5370559127691984]","[0.6846266494700101, 0.8115964130396225]",Pyhard,12.383351579999953,NB,0.002,Highest LSC Sampling,60_waveform-5000
"[0.48286290322580644, 0.6431451612903226]","[0.4109813865230627, 0.6287028431208268]","[0.6470240907576804, 0.8445655203090006]",Pyhard,12.740932949999888,NB,0.002,Lowest N2 Sampling,60_waveform-5000
"[0.47580645161290325, 0.65625]","[0.3661546272194778, 0.6452927773664994]","[0.6513680687281217, 0.8341519051814581]",Pyhard,12.273397498000122,NB,0.002,Lowest F3 Sampling,60_waveform-5000
"[0.3689516129032258, 0.5483870967741935]","[0.295559687077458, 0.5324561316096215]","[0.537841463847273, 0.7772494537633508]",Pyhard,11.835929839000073,NB,0.002,Lowest Harmfulness Sampling,60_waveform-5000
"[0.4737903225806452, 0.6804435483870968]","[0.3877199406236845, 0.6811897786691979]","[0.6543005447377639, 0.8656626163344372]",Pyhard,11.70462181500011,NB,0.002,Highest Usefulness Sampling,60_waveform-5000
"[0.3870967741935484, 0.623991935483871]","[0.32185964096340597, 0.5617767271810657]","[0.5622372896210213, 0.8337890591990893]",Pyhard,11.720322920999934,NB,0.002,"Lowest H, Highest U Sampling",60_waveform-5000
"[0.3790322580645161, 0.4727822580645161]","[0.2566378464284219, 0.38232522133436336]","[0.5765568185157814, 0.7309405874933729]",Pyhard,12.030745758999956,NB,0.002,Highest LSC Sampling,60_waveform-5000
"[0.3407258064516129, 0.6471774193548387]","[0.18889693305001456, 0.6117976883895568]","[0.5848460479657347, 0.838244834973964]",Pyhard,12.24465467899995,NB,0.002,Lowest N2 Sampling,60_waveform-5000
"[0.36189516129032256, 0.5483870967741935]","[0.2672688120501767, 0.4713536512105081]","[0.5276373728880162, 0.7188612620495524]",Pyhard,11.873522753000088,NB,0.002,Lowest F3 Sampling,60_waveform-5000
"[0.36088709677419356, 0.6764112903225806]","[0.21825054267444838, 0.6770933968823462]","[0.5304127021193542, 0.8636125894627797]",Pyhard,11.184693339999967,NB,0.002,Lowest Harmfulness Sampling,60_waveform-5000
"[0.43951612903225806, 0.6703629032258065]","[0.35399605130742823, 0.6432121196943428]","[0.5970087773207042, 0.8356706093191699]",Pyhard,11.156250732999979,NB,0.002,Highest Usefulness Sampling,60_waveform-5000
"[0.3487903225806452, 0.6199596774193549]","[0.19380223779393238, 0.6055801706814797]","[0.5328156709238029, 0.8615214196362294]",Pyhard,11.216440970999884,NB,0.002,"Lowest H, Highest U Sampling",60_waveform-5000
"[0.4405241935483871, 0.6784274193548387]","[0.34116833332441093, 0.6805862162509824]","[0.658965532554898, 0.8612508285474]",Pyhard,11.57019131900006,NB,0.002,Highest LSC Sampling,60_waveform-5000
"[0.3558467741935484, 0.6280241935483871]","[0.2147556853623995, 0.6157434175969932]","[0.529401197046957, 0.8697851315688087]",Pyhard,11.776216700000077,NB,0.002,Lowest N2 Sampling,60_waveform-5000
"[0.4153225806451613, 0.5796370967741935]","[0.3130053559771606, 0.5602112034503719]","[0.6128400165216861, 0.8448872520059487]",Pyhard,11.320509063999907,NB,0.002,Lowest F3 Sampling,60_waveform-5000
"[0.4122983870967742, 0.5967741935483871]","[0.3579390478951487, 0.48105069632536723]","[0.6480976361428181, 0.7444010056436345]",Pyhard,12.29099942300013,NB,0.002,Lowest Harmfulness Sampling,60_waveform-5000
"[0.4637096774193548, 0.5342741935483871]","[0.3563966595340061, 0.44510440841603377]","[0.6107507316196963, 0.7309314180759297]",Pyhard,12.352236766000033,NB,0.002,Highest Usefulness Sampling,60_waveform-5000
"[0.3497983870967742, 0.6622983870967742]","[0.19891012562932822, 0.658644199568413]","[0.5139073177027349, 0.8460524122390932]",Pyhard,12.316689190000034,NB,0.002,"Lowest H, Highest U Sampling",60_waveform-5000
"[0.5443548387096774, 0.6149193548387096]","[0.4459922662781221, 0.6038379199080266]","[0.7377870140361252, 0.8669774967535046]",Pyhard,12.41464449199998,NB,0.002,Highest LSC Sampling,60_waveform-5000
"[0.5120967741935484, 0.5745967741935484]","[0.4015383966606538, 0.5135212002634166]","[0.6647291123353269, 0.8489372745922086]",Pyhard,12.748467370999833,NB,0.002,Lowest N2 Sampling,60_waveform-5000
