Row,CLD,N2,CL,Usefulness,Harmfulness,N1,LSC,LSR,DS,kDN
1,0.0,0.0387955737777191,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0503114518447531,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0413378429161969,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
4,5.551115123125783e-17,0.0459451575262545,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0480999434118313,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
6,2.591815650987428e-13,0.0595262701004506,2.591260539475116e-13,0.02,0.0,0.0,0.0,0.0,0.0,0.0
7,1.6653345369377348e-16,0.0919329491880565,2.220446049250313e-16,0.02,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.024930482308946,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
9,5.551115123125783e-17,0.0454370612558899,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0469525959367946,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0210585996031265,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
12,5.551115123125783e-17,0.051286921834932,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0701686746987954,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0865208747514911,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.1060298727641526,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0658141036401504e-14,0.1371072288412865,1.0658141036401504e-14,0.04,0.0,0.0,0.0,0.0,0.0,0.0
17,1.9984014443252818e-15,0.0561819671491553,1.9984014443252818e-15,0.02,0.0,0.0,0.0,0.0,0.0,0.0
18,1.6653345369377348e-16,0.0404653515427413,2.220446049250313e-16,0.02,0.0,0.0,0.0,0.0,0.0,0.0
19,4.2188474935755955e-14,0.1110550409112208,4.2188474935755955e-14,0.04,0.0,0.0,0.0,0.0,0.0,0.0
20,1.6653345369377348e-16,0.0550131590118007,2.220446049250313e-16,0.02,0.0,0.0,0.0,0.0,0.0,0.0
21,1.7763568394002505e-15,0.0890083130405576,1.7763568394002505e-15,0.02,0.0,0.0,0.0,0.0,0.0,0.0
22,9.603429163007604e-15,0.0683227023627706,9.547918011776346e-15,0.02,0.0,0.0,0.0,0.0,0.0,0.0
