instances,feature_CL,feature_TD_P,feature_LSC,feature_DCP,feature_CLD,feature_N2,feature_TD_U,feature_LSR,feature_Usefulness,feature_kDN,feature_DS,feature_Harmfulness,feature_N1,algo_random_forest
1,0.000720279600684548,1.0,0.8787878787878788,0.0,0.0007202796006843815,0.34278640558181406,1.0,0.5564332371259304,0.6176470588235294,0.2,0.08823529411764708,0.0,0.0,0.060624621816434854
2,1.113775738303957e-11,0.5,0.3529411764705882,0.0,1.1137812894190802e-11,0.12341512359755547,0.5,0.4171518680252304,0.8857142857142857,0.0,0.11764705882352944,0.0,0.0,9.992007221626415e-16
3,0.00017252544724954966,1.0,0.5151515151515151,0.0,0.0001725254472492721,0.3302583025830258,1.0,0.539664647033958,0.5294117647058824,0.0,0.08823529411764708,0.0,0.0,9.992007221626415e-16
4,0.0006614326067586607,0.5,0.8235294117647058,0.0,0.0006614326067587717,0.4332454644130873,0.5,0.6162729658792652,0.6857142857142857,0.0,0.11764705882352944,0.0,0.0,0.005449604767564703
5,0.013677105642500242,1.0,0.6363636363636364,0.0,0.01367710564250002,0.2634088200238378,1.0,0.693695479777954,0.6764705882352942,0.0,0.08823529411764708,0.0,0.0,9.992007221626415e-16
6,5.711298478705551e-06,1.0,0.6060606060606061,0.0,5.71129847865004e-06,0.39384116693679094,1.0,0.5826358665327531,0.6176470588235294,0.0,0.08823529411764708,0.0,0.0,0.10285738543970782
7,1.8869090956386003e-08,0.25,0.02941176470588236,0.0,1.8869090678830247e-08,0.060448300795372445,0.25,0.11713548036417998,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
8,1.1886677344086216e-05,1.0,0.7575757575757576,0.0,1.1801658002075222e-05,0.12928759894459096,1.0,0.6709870388833499,0.7352941176470589,0.0,0.08823529411764708,0.029411764705882353,0.3333333333333333,0.3364722366212129
9,9.885454361646673e-06,0.5,0.7058823529411764,0.0,9.885454361258095e-06,0.3734003656307131,0.5,0.6257847329633337,0.7142857142857143,0.0,0.11764705882352944,0.0,0.0,0.03509131981127006
10,7.559248970445687e-06,0.25,0.05882352941176472,0.0,7.5592485684339294e-06,0.1609212050984936,0.25,0.14228605270950567,0.05714285714285716,0.0,0.0,0.02857142857142857,0.0,0.04000533461369913
11,0.01183059382777174,0.5,0.8823529411764706,0.0,0.011830593827771574,0.3251801703428696,0.5,0.7544305809425416,0.9142857142857143,0.2,0.11764705882352944,0.0,0.0,0.055880458394456614
12,5.5287330269493395e-11,0.5,0.2941176470588235,0.0,5.528744129179586e-11,0.18790637191157344,0.5,0.31508029768899315,0.8571428571428572,0.0,0.11764705882352944,0.0,0.0,0.011560822401075971
